Date,Open,High,Low,Close,Adj Close,Volume
2016-01-21,148.970001,151.240005,148.110001,150.380005,131.089020,2211800
2016-01-22,152.179993,153.710007,151.649994,153.690002,133.974442,2544100
2016-01-25,154.070007,154.479996,150.550003,150.779999,131.437653,1820600
2016-01-26,150.779999,151.720001,148.300003,148.500000,129.450211,2828600
2016-01-27,149.289993,149.589996,146.720001,147.729996,128.778992,2189500
2016-01-28,148.550003,149.970001,147.809998,149.589996,130.400360,2076100
2016-01-29,149.500000,151.619995,146.910004,151.119995,131.734116,3221300
2016-02-01,150.839996,152.190002,150.190002,151.250000,131.847427,2142000
2016-02-02,149.990005,150.789993,148.110001,148.500000,129.450211,1931400
2016-02-03,149.279999,149.979996,145.449997,146.699997,127.881126,2546900
2016-02-04,145.000000,145.139999,141.789993,143.279999,124.899826,5340500
2016-02-05,143.270004,145.199997,142.399994,143.990005,125.518715,4079300
2016-02-08,142.740005,147.550003,141.619995,147.020004,128.160080,3782000
2016-02-09,146.240005,149.720001,146.229996,147.940002,128.962021,3228300
2016-02-10,149.369995,150.169998,147.580002,148.050003,129.407806,2189600
2016-02-11,147.130005,148.389999,144.759995,146.649994,128.184082,2198100
2016-02-12,147.979996,149.270004,147.000000,148.649994,129.932266,1951800
2016-02-16,149.350006,150.639999,147.699997,149.110001,130.334274,2186400
2016-02-17,149.750000,151.979996,148.910004,150.910004,131.907654,2174600
2016-02-18,149.130005,149.839996,146.820007,148.649994,129.932266,2894300
2016-02-19,149.000000,149.139999,146.850006,148.699997,129.975952,2471700
2016-02-22,149.630005,150.179993,148.490005,150.059998,131.164703,2161300
2016-02-23,149.889999,151.759995,149.119995,150.360001,131.427017,1850600
2016-02-24,150.029999,154.410004,149.660004,153.869995,134.494949,2590100
2016-02-25,154.690002,154.880005,152.860001,154.720001,135.237900,1746900
2016-02-26,153.089996,153.410004,148.759995,149.679993,130.832550,3800800
2016-02-29,149.990005,152.300003,149.690002,150.029999,131.138474,3115800
2016-03-01,150.399994,151.199997,149.380005,150.520004,131.566833,2681400
2016-03-02,151.130005,152.949997,150.389999,152.789993,133.550949,2947600
2016-03-03,148.559998,151.960007,147.380005,151.600006,132.510803,5552600
2016-03-04,151.740005,151.770004,150.029999,150.899994,131.898926,2155600
2016-03-07,149.960007,150.889999,147.600006,148.169998,129.512695,3159600
2016-03-08,147.660004,151.919998,147.100006,150.949997,131.942657,3156300
2016-03-09,151.350006,153.500000,151.309998,153.050003,133.778198,2395300
2016-03-10,153.210007,154.690002,151.050003,152.869995,133.620880,1413000
2016-03-11,153.850006,154.000000,151.399994,152.710007,133.481033,1829900
